token			lexeme			line
_________________________________
keyword			function			3
identifier		isPalindrom			3
separator		(			3
identifier		inputNum			3
keyword			integer			3
separator		)			3
separator		{			3
keyword			integer			4
identifier		inRemainder			4
operator		=			4
integer			0			4
separator		;			4
keyword			real			5
identifier		testNum			5
operator		=			5
real			0.0			5
separator		;			5
keyword			real			6
identifier		tempNum			6
operator		=			6
real			0.0			6
separator		;			6
keyword			if			9
separator		(			9
identifier		inputNum			9
operator		<			9
integer			0			9
separator		)			9
separator		{			10
keyword			ret			11
keyword			false			11
separator		;			11
separator		}			12
keyword			endif			13
keyword			while			16
separator		(			16
identifier		tempNum			16
operator		!=			16
integer			0			16
separator		)			16
separator		{			17
identifier		inRemainder			18
operator		=			18
identifier		tempNum			18
operator		/			18
integer			10			18
separator		;			18
identifier		testNum			19
operator		=			19
identifier		testNum			19
operator		*			19
integer			10			19
operator		+			19
identifier		inRemainder			19
separator		;			19
identifier		tempNum			20
operator		=			20
identifier		testNum			20
operator		/			20
integer			10			20
separator		;			20
separator		}			21
keyword			if			24
separator		(			24
identifier		testNum			24
operator		==			24
identifier		inputNum			24
separator		)			24
separator		{			25
keyword			ret			26
keyword			true			26
separator		;			26
separator		}			27
keyword			else			28
separator		{			29
keyword			ret			30
keyword			false			30
separator		;			30
separator		}			31
keyword			endif			32
separator		}			33
