token			lexeme			line
_________________________________
keyword			function			1
identifier		AddNums			1
separator		(			1
identifier		numOne			1
keyword			integer			1
separator		,			1
identifier		numTwo			1
keyword			integer			1
separator		)			1
separator		{			2
keyword			integer			3
identifier		newSum			3
separator		;			3
identifier		newSum			4
operator		=			4
identifier		numOne			4
operator		+			4
identifier		numTwo			4
separator		;			4
keyword			ret			5
identifier		newSum			5
separator		}			6
keyword			function			10
identifier		SubNums			10
separator		(			10
identifier		numOne			10
keyword			integer			10
separator		,			10
identifier		numTwo			10
keyword			integer			10
separator		)			10
separator		{			11
keyword			integer			12
identifier		newDiff			12
separator		;			12
identifier		newDiff			13
operator		=			13
identifier		numOne			13
operator		-			13
identifier		numTwo			13
separator		;			13
keyword			ret			14
identifier		newDiff			14
separator		;			14
separator		}			15
keyword			function			17
identifier		ConvertToCelcius			17
separator		(			17
identifier		tempInF			17
keyword			real			17
separator		)			17
separator		{			18
keyword			real			19
identifier		tempCel			19
separator		;			19
identifier		tempCel			20
operator		=			20
identifier		tempInF			20
operator		*			20
separator		(			20
integer			5			20
operator		/			20
integer			9			20
separator		)			20
operator		+			20
integer			32			20
separator		;			20
keyword			ret			21
identifier		tempCel			21
separator		;			21
separator		}			22
