token			lexeme			line
_________________________________
keyword			function			2
identifier		factorial			2
separator		(			2
identifier		n			2
keyword			integer			2
separator		)			2
separator		{			2
keyword			integer			3
identifier		result			3
separator		;			3
keyword			if			4
separator		(			4
identifier		n			4
operator		<=			4
integer			1			4
separator		)			4
separator		{			4
keyword			ret			5
integer			1			5
separator		;			5
separator		}			6
keyword			else			6
separator		{			6
identifier		result			7
operator		=			7
identifier		n			7
operator		*			7
identifier		factorial			7
separator		(			7
identifier		n			7
operator		-			7
integer			1			7
separator		)			7
separator		;			7
keyword			ret			8
identifier		result			8
separator		;			8
separator		}			9
keyword			endif			9
separator		}			10
